Question,Réponse,Lien,Catégorie,Rating
"Quels sont les horaires des cours d’informatique ?","Les horaires sont disponibles sur le portail étudiant. Consultez la section Horaires.","http://iset.example.com/horaires","Horaires",0
"Quand commence le semestre ?","Le semestre commence le 1er septembre. Vérifiez le calendrier universitaire.","http://iset.example.com/calendrier","Horaires",0
"À quelle heure est le cours d’Algorithmique ?","Le cours d’Algorithmique est prévu le lundi de 8h à 10h. Consultez le portail.","http://iset.example.com/horaires","Horaires",0
"Y a-t-il des cours le samedi ?","Certains cours pratiques ont lieu le samedi. Vérifiez votre emploi du temps.","http://iset.example.com/horaires","Horaires",0
"Quel est l’horaire du cours de Python le lundi ?","Le cours de Python est de 10h à 12h en salle A-101. Consultez le portail.","http://iset.example.com/horaires","Horaires",0
"Où trouver l’emploi du temps de Génie Civil ?","L’emploi du temps est sur le portail étudiant, section Génie Civil.","http://iset.example.com/horaires","Horaires",0
"Quand a lieu le cours de Réseaux ?","Le cours de Réseaux est le mercredi de 14h à 16h. Vérifiez le portail.","http://iset.example.com/horaires","Horaires",0
"Les cours sont-ils en ligne ou en présentiel ?","La plupart des cours sont en présentiel, certains en ligne. Consultez le portail.","http://iset.example.com/horaires","Horaires",0
"Qui enseigne le cours de Programmation Python ?","Le cours est enseigné par le Pr. Dupont. Consultez le programme.","http://iset.example.com/programmes","Professeurs",0
"Comment contacter un professeur ?","Les coordonnées des professeurs sont sur le portail enseignant.","http://iset.example.com/enseignants","Professeurs",0
"Qui est le responsable du département Génie Civil ?","Le Pr. Martin est responsable. Contactez-le via le portail.","http://iset.example.com/departements","Professeurs",0
"Quels sont les horaires de bureau des professeurs ?","Les horaires de bureau sont sur le portail enseignant.","http://iset.example.com/enseignants","Professeurs",0
"Qui enseigne Bases de données ?","Le cours est enseigné par Mme. Leclerc. Consultez le programme.","http://iset.example.com/programmes","Professeurs",0
"Comment prendre rendez-vous avec un professeur ?","Envoyez un email via le portail enseignant pour un rendez-vous.","http://iset.example.com/enseignants","Professeurs",0
"Qui est le coordinateur des cours d’informatique ?","Le coordinateur est le Pr. Dubois. Contactez-le via le portail.","http://iset.example.com/departements","Professeurs",0
"Où se déroule le cours de Bases de données ?","Le cours a lieu en salle B-204. Vérifiez l’affichage des salles.","http://iset.example.com/salles","Salles",0
"Y a-t-il des salles libres pour étudier ?","Les salles libres sont indiquées sur le planning des salles.","http://iset.example.com/salles","Salles",0
"Comment réserver une salle pour un projet ?","Les réservations se font via le bureau administratif.","http://iset.example.com/salles","Salles",0
"Où trouver le plan des salles de l’ISET ?","Le plan des salles est sur le site, section Infrastructures.","http://iset.example.com/infrastructures","Salles",0
